GEOID,NAME,age_under_18,age_18_34,age_35_64,age_65_and_over
36001,"Albany County, New York",57079,87863,114939,55160
36003,"Allegany County, New York",9265,12442,16387,9128
36005,"Bronx County, New York",355908,366150,529524,191647
36007,"Broome County, New York",37879,51399,69933,39154
36009,"Cattaraugus County, New York",16876,15328,29443,15353
36011,"Cayuga County, New York",14810,15608,30481,15272
36013,"Chautauqua County, New York",25842,26515,48558,26525
36015,"Chemung County, New York",17589,17540,32079,16376
36017,"Chenango County, New York",9672,8715,18666,10043
36019,"Clinton County, New York",14325,19986,31284,14244
36021,"Columbia County, New York",10101,10805,25337,15226
36023,"Cortland County, New York",8843,13847,16351,7714
36025,"Delaware County, New York",7235,8665,17487,11250
36027,"Dutchess County, New York",55027,66036,120856,54548
36029,"Erie County, New York",191335,221867,362333,175697
36031,"Essex County, New York",5915,6735,15400,9264
36033,"Franklin County, New York",9647,10106,18953,8753
36035,"Fulton County, New York",10634,9956,21953,10737
36037,"Genesee County, New York",11822,11768,23283,11331
36039,"Greene County, New York",7778,9659,19498,11132
36041,"Hamilton County, New York",665,702,2094,1629
36043,"Herkimer County, New York",12343,11503,23591,12856
36045,"Jefferson County, New York",27944,34296,38539,16666
36047,"Kings County, New York",604364,692075,994597,388584
36049,"Lewis County, New York",6112,5067,10282,5229
36051,"Livingston County, New York",11048,15480,23742,11710
36053,"Madison County, New York",12723,16141,26131,13025
36055,"Monroe County, New York",154969,181258,284682,135497
36057,"Montgomery County, New York",11377,10026,18872,9349
36059,"Nassau County, New York",297719,283811,557155,250475
36061,"New York County, New York",235675,492036,633900,284256
36063,"Niagara County, New York",42089,43781,84468,41892
36065,"Oneida County, New York",49228,50224,87314,44289
36067,"Onondaga County, New York",99353,110567,178374,84343
36069,"Ontario County, New York",21901,22719,44058,23610
36071,"Orange County, New York",101997,90261,152264,56715
36073,"Orleans County, New York",7690,8325,16790,7343
36075,"Oswego County, New York",24452,27373,46062,20150
36077,"Otsego County, New York",9150,17101,20805,12622
36079,"Putnam County, New York",19058,19113,41871,17900
36081,"Queens County, New York",469866,546018,955543,389399
36083,"Rensselaer County, New York",30603,39223,62735,28382
36085,"Richmond County, New York",106747,107367,197058,81753
36087,"Rockland County, New York",97168,70272,117133,52753
36089,"St. Lawrence County, New York",21686,27672,39737,19575
36091,"Saratoga County, New York",45784,47830,97942,44772
36093,"Schenectady County, New York",34078,36499,61019,27851
36095,"Schoharie County, New York",5219,6353,11493,6905
36097,"Schuyler County, New York",3365,3102,7449,3939
36099,"Seneca County, New York",6743,6905,13215,6788
36101,"Steuben County, New York",20046,18014,36834,18690
36103,"Suffolk County, New York",316671,323538,620895,263382
36105,"Sullivan County, New York",16516,16198,31110,14901
36107,"Tioga County, New York",9844,8926,19494,10080
36109,"Tompkins County, New York",14870,38898,32708,16079
36111,"Ulster County, New York",31525,39264,74094,37270
36113,"Warren County, New York",11647,12515,26392,15130
36115,"Washington County, New York",11289,12186,25320,12515
36117,"Wayne County, New York",19291,17223,36804,18006
36119,"Westchester County, New York",214632,202452,406425,174395
36121,"Wyoming County, New York",7977,8028,16617,7716
36123,"Yates County, New York",5437,5210,8757,5309
